license plate,brand,model,color,model year
VM423WN,Jeep,Renegade,purple,2016
VM436XR,Mini,Cooper,red,2017
VM449YU,Subaru,Impreza,blue,2018
VM462ZX,Mitsubishi,Colt,white,2019
VM475AA,Tesla,Model 3,black,2020
VM488BD,Fiat,500,grey,2021
VM501CG,Volkswagen,Polo,silver,2022
VM514DJ,Toyota,Corolla,green,2023
VM527EM,Ford,Fiesta,yellow,2024
VM540FP,Renault,Megane,orange,2005
VM553GT,Peugeot,308,brown,2006
VM566HW,Opel,Astra,beige,2007
VM579IZ,BMW,Serie 3,purple,2008
VM592JC,Mercedes,Classe B,red,2009
VM605KF,Audi,A3,blue,2010
VM618LI,Honda,Jazz,white,2011
VM631ML,Hyundai,i20,black,2012
VN644NO,Kia,Stonic,grey,2013
VN657OS,Nissan,Juke,silver,2014
VN670PV,Seat,Arona,green,2015
VN683RY,Skoda,Scala,yellow,2016
VN696SB,Volvo,XC40,orange,2017
VN709TE,Mazda,3,brown,2018
VN722UH,Suzuki,Vitara,beige,2019
VN735VK,Citroen,C4,purple,2020
VN748WN,Dacia,Duster,red,2021
VN761XR,Alfa Romeo,Giulia,blue,2022
VN774YU,Lancia,Ypsilon,white,2023
VN787ZX,Jeep,Compass,black,2024
VN800AA,Mini,Countryman,grey,2005
VN813BD,Subaru,Forester,silver,2006
VN826CG,Mitsubishi,ASX,green,2007
VN839DJ,Tesla,Model Y,yellow,2008
VN852EM,Fiat,Panda,orange,2009
VN865FP,Volkswagen,Passat,brown,2010
VN878GT,Toyota,Auris,beige,2011
VN891HW,Ford,Kuga,purple,2012
VN904IZ,Renault,Captur,red,2013
VN917JC,Peugeot,2008,blue,2014
VN930KF,Opel,Mokka,white,2015
VN943LI,BMW,Serie 5,black,2016
VN956ML,Mercedes,Classe C,grey,2017
VN969NO,Audi,A4,silver,2018
VO982OS,Honda,HR-V,green,2019
VO995PV,Hyundai,i30,yellow,2020
VO108RY,Kia,Ceed,orange,2021
VO121SB,Nissan,Qashqai,brown,2022
VO134TE,Seat,Leon,beige,2023
VO147UH,Skoda,Octavia,purple,2024
VO160VK,Volvo,V60,red,2005
VO173WN,Mazda,CX-3,blue,2006
VO186XR,Suzuki,Ignis,white,2007
VO199YU,Citroen,C5 Aircross,black,2008
VO212ZX,Dacia,Logan,grey,2009
VO225AA,Alfa Romeo,Stelvio,silver,2010
VO238BD,Lancia,Ypsilon,green,2011
VO251CG,Jeep,Cherokee,yellow,2012
VO264DJ,Mini,Clubman,orange,2013
VO277EM,Subaru,Outback,brown,2014
VO290FP,Mitsubishi,Eclipse Cross,beige,2015
VO303GT,Tesla,Model S,purple,2016
VO316HW,Fiat,Tipo,red,2017
VO329IZ,Volkswagen,Tiguan,blue,2018
VO342JC,Toyota,RAV4,white,2019
VO355KF,Ford,Puma,black,2020
VO368LI,Renault,Kadjar,grey,2021
VO381ML,Peugeot,3008,silver,2022
VO394NO,Opel,Crossland,green,2023
VO407OS,BMW,X1,yellow,2024
VP420PV,Mercedes,GLA,orange,2005
VP433RY,Audi,Q3,brown,2006
VP446SB,Honda,CR-V,beige,2007
VP459TE,Hyundai,Tucson,purple,2008
VP472UH,Kia,Sportage,red,2009
VP485VK,Nissan,Leaf,blue,2010
VP498WN,Seat,Ateca,white,2011
VP511XR,Skoda,Karoq,black,2012
VP524YU,Volvo,XC60,grey,2013
VP537ZX,Mazda,CX-5,silver,2014
VP550AA,Suzuki,Baleno,green,2015
VP563BD,Citroen,Berlingo,yellow,2016
VP576CG,Dacia,Spring,orange,2017
VP589DJ,Alfa Romeo,Tonale,brown,2018
VP602EM,Lancia,Ypsilon,beige,2019
VP615FP,Jeep,Wrangler,purple,2020
VP628GT,Mini,Paceman,red,2021
VP641HW,Subaru,XV,blue,2022
VP654IZ,Mitsubishi,Outlander,white,2023
VP667JC,Tesla,Model X,black,2024
VP680KF,Fiat,Punto,grey,2005
VP693LI,Volkswagen,Golf,silver,2006
VP706ML,Toyota,Yaris,green,2007
VP719NO,Ford,Focus,yellow,2008
VP732OS,Renault,Clio,orange,2009
VP745PV,Peugeot,208,brown,2010
VR758RY,Opel,Corsa,beige,2011
VR771SB,BMW,Serie 1,purple,2012
VR784TE,Mercedes,Classe A,red,2013
VR797UH,Audi,A1,blue,2014
VR810VK,Honda,Civic,white,2015
VR823WN,Hyundai,i10,black,2016
VR836XR,Kia,Picanto,grey,2017
VR849YU,Nissan,Micra,silver,2018
VR862ZX,Seat,Ibiza,green,2019
VR875AA,Skoda,Fabia,yellow,2020
VR888BD,Volvo,V40,orange,2021
VR901CG,Mazda,2,brown,2022
VR914DJ,Suzuki,Swift,beige,2023
VR927EM,Citroen,C3,purple,2024
VR940FP,Dacia,Sandero,red,2005
VR953GT,Alfa Romeo,Giulietta,blue,2006
VR966HW,Lancia,Ypsilon,white,2007
VR979IZ,Jeep,Renegade,black,2008
VR992JC,Mini,Cooper,grey,2009
VR105KF,Subaru,Impreza,silver,2010
VR118LI,Mitsubishi,Colt,green,2011
VR131ML,Tesla,Model 3,yellow,2012
VR144NO,Fiat,500,orange,2013
VR157OS,Volkswagen,Polo,brown,2014
VR170PV,Toyota,Corolla,beige,2015
VR183RY,Ford,Fiesta,purple,2016
VS196SB,Renault,Megane,red,2017
VS209TE,Peugeot,308,blue,2018
VS222UH,Opel,Astra,white,2019
VS235VK,BMW,Serie 3,black,2020
VS248WN,Mercedes,Classe B,grey,2021
VS261XR,Audi,A3,silver,2022
VS274YU,Honda,Jazz,green,2023
VS287ZX,Hyundai,i20,yellow,2024
VS300AA,Kia,Stonic,orange,2005
VS313BD,Nissan,Juke,brown,2006
VS326CG,Seat,Arona,beige,2007
VS339DJ,Skoda,Scala,purple,2008
VS352EM,Volvo,XC40,red,2009
VS365FP,Mazda,3,blue,2010
VS378GT,Suzuki,Vitara,white,2011
VS391HW,Citroen,C4,black,2012
VS404IZ,Dacia,Duster,grey,2013
VS417JC,Alfa Romeo,Giulia,silver,2014
VS430KF,Lancia,Ypsilon,green,2015
VS443LI,Jeep,Compass,yellow,2016
VS456ML,Mini,Countryman,orange,2017
VS469NO,Subaru,Forester,brown,2018
VS482OS,Mitsubishi,ASX,beige,2019
VS495PV,Tesla,Model Y,purple,2020
VS508RY,Fiat,Panda,red,2021
VS521SB,Volkswagen,Passat,blue,2022
VT534TE,Toyota,Auris,white,2023
VT547UH,Ford,Kuga,black,2024
VT560VK,Renault,Captur,grey,2005
VT573WN,Peugeot,2008,silver,2006
VT586XR,Opel,Mokka,green,2007
VT599YU,BMW,Serie 5,yellow,2008
VT612ZX,Mercedes,Classe C,orange,2009
VT625AA,Audi,A4,brown,2010
VT638BD,Honda,HR-V,beige,2011
VT651CG,Hyundai,i30,purple,2012
VT664DJ,Kia,Ceed,red,2013
VT677EM,Nissan,Qashqai,blue,2014
VT690FP,Seat,Leon,white,2015
VT703GT,Skoda,Octavia,black,2016
VT716HW,Volvo,V60,grey,2017
VT729IZ,Mazda,CX-3,silver,2018
VT742JC,Suzuki,Ignis,green,2019
VT755KF,Citroen,C5 Aircross,yellow,2020
VT768LI,Dacia,Logan,orange,2021
VT781ML,Alfa Romeo,Stelvio,brown,2022
VT794NO,Lancia,Ypsilon,beige,2023
VT807OS,Jeep,Cherokee,purple,2024
VT820PV,Mini,Clubman,red,2005
VT833RY,Subaru,Outback,blue,2006
VT846SB,Mitsubishi,Eclipse Cross,white,2007
VT859TE,Tesla,Model S,black,2008
VU872UH,Fiat,Tipo,grey,2009
VU885VK,Volkswagen,Tiguan,silver,2010
VU898WN,Toyota,RAV4,green,2011
VU911XR,Ford,Puma,yellow,2012
VU924YU,Renault,Kadjar,orange,2013
VU937ZX,Peugeot,3008,brown,2014
VU950AA,Opel,Crossland,beige,2015
VU963BD,BMW,X1,purple,2016
VU976CG,Mercedes,GLA,red,2017
VU989DJ,Audi,Q3,blue,2018
VU102EM,Honda,CR-V,white,2019
VU115FP,Hyundai,Tucson,black,2020
VU128GT,Kia,Sportage,grey,2021
VU141HW,Nissan,Leaf,silver,2022
VU154IZ,Seat,Ateca,green,2023
VU167JC,Skoda,Karoq,yellow,2024
VU180KF,Volvo,XC60,orange,2005
VU193LI,Mazda,CX-5,brown,2006
VU206ML,Suzuki,Baleno,beige,2007
VU219NO,Citroen,Berlingo,purple,2008
VU232OS,Dacia,Spring,red,2009
VU245PV,Alfa Romeo,Tonale,blue,2010
VU258RY,Lancia,Ypsilon,white,2011
VU271SB,Jeep,Wrangler,black,2012
VU284TE,Mini,Paceman,grey,2013
VU297UH,Subaru,XV,silver,2014
VV310VK,Mitsubishi,Outlander,green,2015
VV323WN,Tesla,Model X,yellow,2016
VV336XR,Fiat,Punto,orange,2017
VV349YU,Volkswagen,Golf,brown,2018
VV362ZX,Toyota,Yaris,beige,2019
VV375AA,Ford,Focus,purple,2020
VV388BD,Renault,Clio,red,2021
VV401CG,Peugeot,208,blue,2022
VV414DJ,Opel,Corsa,white,2023
VV427EM,BMW,Serie 1,black,2024
VV440FP,Mercedes,Classe A,grey,2005
VV453GT,Audi,A1,silver,2006
VV466HW,Honda,Civic,green,2007
VV479IZ,Hyundai,i10,yellow,2008
VV492JC,Kia,Picanto,orange,2009
VV505KF,Nissan,Micra,brown,2010
VV518LI,Seat,Ibiza,beige,2011
VV531ML,Skoda,Fabia,purple,2012
VV544NO,Volvo,V40,red,2013
VV557OS,Mazda,2,blue,2014
VV570PV,Suzuki,Swift,white,2015
VV583RY,Citroen,C3,black,2016
VV596SB,Dacia,Sandero,grey,2017
VV609TE,Alfa Romeo,Giulietta,silver,2018
VV622UH,Lancia,Ypsilon,green,2019
VV635VK,Jeep,Renegade,yellow,2020
WW648WN,Mini,Cooper,orange,2021
WW661XR,Subaru,Impreza,brown,2022
WW674YU,Mitsubishi,Colt,beige,2023
WW687ZX,Tesla,Model 3,purple,2024
WW700AA,Fiat,500,red,2005
WW713BD,Volkswagen,Polo,blue,2006
WW726CG,Toyota,Corolla,white,2007
WW739DJ,Ford,Fiesta,black,2008
WW752EM,Renault,Megane,grey,2009
WW765FP,Peugeot,308,silver,2010
WW778GT,Opel,Astra,green,2011
WW791HW,BMW,Serie 3,yellow,2012
WW804IZ,Mercedes,Classe B,orange,2013
WW817JC,Audi,A3,brown,2014
WW830KF,Honda,Jazz,beige,2015
WW843LI,Hyundai,i20,purple,2016
WW856ML,Kia,Stonic,red,2017
WW869NO,Nissan,Juke,blue,2018
WW882OS,Seat,Arona,white,2019
WW895PV,Skoda,Scala,black,2020
WW908RY,Volvo,XC40,grey,2021
WW921SB,Mazda,3,silver,2022
WW934TE,Suzuki,Vitara,green,2023
WW947UH,Citroen,C4,yellow,2024
WW960VK,Dacia,Duster,orange,2005
WW973WN,Alfa Romeo,Giulia,brown,2006
WX986XR,Lancia,Ypsilon,beige,2007
WX999YU,Jeep,Compass,purple,2008
WX112ZX,Mini,Countryman,red,2009
WX125AA,Subaru,Forester,blue,2010
WX138BD,Mitsubishi,ASX,white,2011
WX151CG,Tesla,Model Y,black,2012
WX164DJ,Fiat,Panda,grey,2013
WX177EM,Volkswagen,Passat,silver,2014
WX190FP,Toyota,Auris,green,2015
WX203GT,Ford,Kuga,yellow,2016
WX216HW,Renault,Captur,orange,2017
WX229IZ,Peugeot,2008,brown,2018
WX242JC,Opel,Mokka,beige,2019
WX255KF,BMW,Serie 5,purple,2020
WX268LI,Mercedes,Classe C,red,2021
WX281ML,Audi,A4,blue,2022
WX294NO,Honda,HR-V,white,2023
WX307OS,Hyundai,i30,black,2024
WX320PV,Kia,Ceed,grey,2005
WX333RY,Nissan,Qashqai,silver,2006
WX346SB,Seat,Leon,green,2007
WX359TE,Skoda,Octavia,yellow,2008
WX372UH,Volvo,V60,orange,2009
WX385VK,Mazda,CX-3,brown,2010
WX398WN,Suzuki,Ignis,beige,2011
WX411XR,Citroen,C5 Aircross,purple,2012
WY424YU,Dacia,Logan,red,2013
WY437ZX,Alfa Romeo,Stelvio,blue,2014
WY450AA,Lancia,Ypsilon,white,2015
WY463BD,Jeep,Cherokee,black,2016
WY476CG,Mini,Clubman,grey,2017
WY489DJ,Subaru,Outback,silver,2018
WY502EM,Mitsubishi,Eclipse Cross,green,2019
WY515FP,Tesla,Model S,yellow,2020
WY528GT,Fiat,Tipo,orange,2021
WY541HW,Volkswagen,Tiguan,brown,2022
WY554IZ,Toyota,RAV4,beige,2023
WY567JC,Ford,Puma,purple,2024
WY580KF,Renault,Kadjar,red,2005
WY593LI,Peugeot,3008,blue,2006
WY606ML,Opel,Crossland,white,2007
WY619NO,BMW,X1,black,2008
WY632OS,Mercedes,GLA,grey,2009
WY645PV,Audi,Q3,silver,2010
WY658RY,Honda,CR-V,green,2011
WY671SB,Hyundai,Tucson,yellow,2012
WY684TE,Kia,Sportage,orange,2013
WY697UH,Nissan,Leaf,brown,2014
WY710VK,Seat,Ateca,beige,2015
WY723WN,Skoda,Karoq,purple,2016
WY736XR,Volvo,XC60,red,2017
WY749YU,Mazda,CX-5,blue,2018
WZ762ZX,Suzuki,Baleno,white,2019
WZ775AA,Citroen,Berlingo,black,2020
WZ788BD,Dacia,Spring,grey,2021
WZ801CG,Alfa Romeo,Tonale,silver,2022
WZ814DJ,Lancia,Ypsilon,green,2023
WZ827EM,Jeep,Wrangler,yellow,2024
WZ840FP,Mini,Paceman,orange,2005
WZ853GT,Subaru,XV,brown,2006
WZ866HW,Mitsubishi,Outlander,beige,2007
WZ879IZ,Tesla,Model X,purple,2008
WZ892JC,Fiat,Punto,red,2009
WZ905KF,Volkswagen,Golf,blue,2010
WZ918LI,Toyota,Yaris,white,2011
WZ931ML,Ford,Focus,black,2012
WZ944NO,Renault,Clio,grey,2013
WZ957OS,Peugeot,208,silver,2014
WZ970PV,Opel,Corsa,green,2015
WZ983RY,BMW,Serie 1,yellow,2016
WZ996SB,Mercedes,Classe A,orange,2017
WZ109TE,Audi,A1,brown,2018
WZ122UH,Honda,Civic,beige,2019
WZ135VK,Hyundai,i10,purple,2020
WZ148WN,Kia,Picanto,red,2021
WZ161XR,Nissan,Micra,blue,2022
WZ174YU,Seat,Ibiza,white,2023
WZ187ZX,Skoda,Fabia,black,2024
WA200AA,Volvo,V40,grey,2005
WA213BD,Mazda,2,silver,2006
WA226CG,Suzuki,Swift,green,2007
WA239DJ,Citroen,C3,yellow,2008
WA252EM,Dacia,Sandero,orange,2009
WA265FP,Alfa Romeo,Giulietta,brown,2010
WA278GT,Lancia,Ypsilon,beige,2011
WA291HW,Jeep,Renegade,purple,2012
WA304IZ,Mini,Cooper,red,2013
WA317JC,Subaru,Impreza,blue,2014
WA330KF,Mitsubishi,Colt,white,2015
WA343LI,Tesla,Model 3,black,2016
WA356ML,Fiat,500,grey,2017
WA369NO,Volkswagen,Polo,silver,2018
WA382OS,Toyota,Corolla,green,2019
WA395PV,Ford,Fiesta,yellow,2020
WA408RY,Renault,Megane,orange,2021
WA421SB,Peugeot,308,brown,2022
WA434TE,Opel,Astra,beige,2023
WA447UH,BMW,Serie 3,purple,2024
WA460VK,Mercedes,Classe B,red,2005
WA473WN,Audi,A3,blue,2006
WA486XR,Honda,Jazz,white,2007
WA499YU,Hyundai,i20,black,2008
WA512ZX,Kia,Stonic,grey,2009
WA525AA,Nissan,Juke,silver,2010
WB538BD,Seat,Arona,green,2011
WB551CG,Skoda,Scala,yellow,2012
WB564DJ,Volvo,XC40,orange,2013
WB577EM,Mazda,3,brown,2014
WB590FP,Suzuki,Vitara,beige,2015
WB603GT,Citroen,C4,purple,2016
WB616HW,Dacia,Duster,red,2017
WB629IZ,Alfa Romeo,Giulia,blue,2018
WB642JC,Lancia,Ypsilon,white,2019
WB655KF,Jeep,Compass,black,2020
WB668LI,Mini,Countryman,grey,2021
WB681ML,Subaru,Forester,silver,2022
WB694NO,Mitsubishi,ASX,green,2023
WB707OS,Tesla,Model Y,yellow,2024
WB720PV,Fiat,Panda,orange,2005
WB733RY,Volkswagen,Passat,brown,2006
WB746SB,Toyota,Auris,beige,2007
WB759TE,Ford,Kuga,purple,2008
WB772UH,Renault,Captur,red,2009
WB785VK,Peugeot,2008,blue,2010
WB798WN,Opel,Mokka,white,2011
WB811XR,BMW,Serie 5,black,2012
WB824YU,Mercedes,Classe C,grey,2013
WB837ZX,Audi,A4,silver,2014
WB850AA,Honda,HR-V,green,2015
WB863BD,Hyundai,i30,yellow,2016
WC876CG,Kia,Ceed,orange,2017
WC889DJ,Nissan,Qashqai,brown,2018
WC902EM,Seat,Leon,beige,2019
WC915FP,Skoda,Octavia,purple,2020
WC928GT,Volvo,V60,red,2021
WC941HW,Mazda,CX-3,blue,2022
WC954IZ,Suzuki,Ignis,white,2023
WC967JC,Citroen,C5 Aircross,black,2024
WC980KF,Dacia,Logan,grey,2005
WC993LI,Alfa Romeo,Stelvio,silver,2006
WC106ML,Lancia,Ypsilon,green,2007
WC119NO,Jeep,Cherokee,yellow,2008
WC132OS,Mini,Clubman,orange,2009
WC145PV,Subaru,Outback,brown,2010
WC158RY,Mitsubishi,Eclipse Cross,beige,2011
WC171SB,Tesla,Model S,purple,2012
WC184TE,Fiat,Tipo,red,2013
WC197UH,Volkswagen,Tiguan,blue,2014
WC210VK,Toyota,RAV4,white,2015
WC223WN,Ford,Puma,black,2016
WC236XR,Renault,Kadjar,grey,2017
WC249YU,Peugeot,3008,silver,2018
WC262ZX,Opel,Crossland,green,2019
WC275AA,BMW,X1,yellow,2020
WC288BD,Mercedes,GLA,orange,2021
WC301CG,Audi,Q3,brown,2022
WD314DJ,Honda,CR-V,beige,2023
WD327EM,Hyundai,Tucson,purple,2024
WD340FP,Kia,Sportage,red,2005
WD353GT,Nissan,Leaf,blue,2006
WD366HW,Seat,Ateca,white,2007
WD379IZ,Skoda,Karoq,black,2008
WD392JC,Volvo,XC60,grey,2009
WD405KF,Mazda,CX-5,silver,2010
WD418LI,Suzuki,Baleno,green,2011
WD431ML,Citroen,Berlingo,yellow,2012
WD444NO,Dacia,Spring,orange,2013
WD457OS,Alfa Romeo,Tonale,brown,2014
WD470PV,Lancia,Ypsilon,beige,2015
WD483RY,Jeep,Wrangler,purple,2016
WD496SB,Mini,Paceman,red,2017
WD509TE,Subaru,XV,blue,2018
WD522UH,Mitsubishi,Outlander,white,2019
WD535VK,Tesla,Model X,black,2020
WD548WN,Fiat,Punto,grey,2021
WD561XR,Volkswagen,Golf,silver,2022
WD574YU,Toyota,Yaris,green,2023
WD587ZX,Ford,Focus,yellow,2024
WD600AA,Renault,Clio,orange,2005
WD613BD,Peugeot,208,brown,2006
WD626CG,Opel,Corsa,beige,2007
WD639DJ,BMW,Serie 1,purple,2008
WE652EM,Mercedes,Classe A,red,2009
WE665FP,Audi,A1,blue,2010
WE678GT,Honda,Civic,white,2011
WE691HW,Hyundai,i10,black,2012
WE704IZ,Kia,Picanto,grey,2013
WE717JC,Nissan,Micra,silver,2014
WE730KF,Seat,Ibiza,green,2015
WE743LI,Skoda,Fabia,yellow,2016
WE756ML,Volvo,V40,orange,2017
WE769NO,Mazda,2,brown,2018
WE782OS,Suzuki,Swift,beige,2019
WE795PV,Citroen,C3,purple,2020
WE808RY,Dacia,Sandero,red,2021
WE821SB,Alfa Romeo,Giulietta,blue,2022
WE834TE,Lancia,Ypsilon,white,2023
WE847UH,Jeep,Renegade,black,2024
WE860VK,Mini,Cooper,grey,2005
WE873WN,Subaru,Impreza,silver,2006
WE886XR,Mitsubishi,Colt,green,2007
WE899YU,Tesla,Model 3,yellow,2008
WE912ZX,Fiat,500,orange,2009
WE925AA,Volkswagen,Polo,brown,2010
WE938BD,Toyota,Corolla,beige,2011
WE951CG,Ford,Fiesta,purple,2012
WE964DJ,Renault,Megane,red,2013
WE977EM,Peugeot,308,blue,2014
WF990FP,Opel,Astra,white,2015
WF103GT,BMW,Serie 3,black,2016
WF116HW,Mercedes,Classe B,grey,2017
WF129IZ,Audi,A3,silver,2018
WF142JC,Honda,Jazz,green,2019
WF155KF,Hyundai,i20,yellow,2020
WF168LI,Kia,Stonic,orange,2021
WF181ML,Nissan,Juke,brown,2022
WF194NO,Seat,Arona,beige,2023
WF207OS,Skoda,Scala,purple,2024
WF220PV,Volvo,XC40,red,2005
WF233RY,Mazda,3,blue,2006
WF246SB,Suzuki,Vitara,white,2007
WF259TE,Citroen,C4,black,2008
WF272UH,Dacia,Duster,grey,2009
WF285VK,Alfa Romeo,Giulia,silver,2010
WF298WN,Lancia,Ypsilon,green,2011
WF311XR,Jeep,Compass,yellow,2012
WF324YU,Mini,Countryman,orange,2013
WF337ZX,Subaru,Forester,brown,2014
WF350AA,Mitsubishi,ASX,beige,2015
WF363BD,Tesla,Model Y,purple,2016
WF376CG,Fiat,Panda,red,2017
WF389DJ,Volkswagen,Passat,blue,2018
WF402EM,Toyota,Auris,white,2019
WF415FP,Ford,Kuga,black,2020
WG428GT,Renault,Captur,grey,2021
WG441HW,Peugeot,2008,silver,2022
WG454IZ,Opel,Mokka,green,2023
WG467JC,BMW,Serie 5,yellow,2024
WG480KF,Mercedes,Classe C,orange,2005
WG493LI,Audi,A4,brown,2006
WG506ML,Honda,HR-V,beige,2007
WG519NO,Hyundai,i30,purple,2008
WG532OS,Kia,Ceed,red,2009
WG545PV,Nissan,Qashqai,blue,2010
WG558RY,Seat,Leon,white,2011
WG571SB,Skoda,Octavia,black,2012
WG584TE,Volvo,V60,grey,2013
WG597UH,Mazda,CX-3,silver,2014
WG610VK,Suzuki,Ignis,green,2015
WG623WN,Citroen,C5 Aircross,yellow,2016
WG636XR,Dacia,Logan,orange,2017
WG649YU,Alfa Romeo,Stelvio,brown,2018
WG662ZX,Lancia,Ypsilon,beige,2019
WG675AA,Jeep,Cherokee,purple,2020
WG688BD,Mini,Clubman,red,2021
WG701CG,Subaru,Outback,blue,2022
WG714DJ,Mitsubishi,Eclipse Cross,white,2023
WG727EM,Tesla,Model S,black,2024
WG740FP,Fiat,Tipo,grey,2005
WG753GT,Volkswagen,Tiguan,silver,2006
WH766HW,Toyota,RAV4,green,2007
WH779IZ,Ford,Puma,yellow,2008
WH792JC,Renault,Kadjar,orange,2009
WH805KF,Peugeot,3008,brown,2010
WH818LI,Opel,Crossland,beige,2011
WH831ML,BMW,X1,purple,2012
WH844NO,Mercedes,GLA,red,2013
WH857OS,Audi,Q3,blue,2014
WH870PV,Honda,CR-V,white,2015
WH883RY,Hyundai,Tucson,black,2016
WH896SB,Kia,Sportage,grey,2017
WH909TE,Nissan,Leaf,silver,2018
WH922UH,Seat,Ateca,green,2019
WH935VK,Skoda,Karoq,yellow,2020
WH948WN,Volvo,XC60,orange,2021
WH961XR,Mazda,CX-5,brown,2022
WH974YU,Suzuki,Baleno,beige,2023
WH987ZX,Citroen,Berlingo,purple,2024
WH100AA,Dacia,Spring,red,2005
WH113BD,Alfa Romeo,Tonale,blue,2006
WH126CG,Lancia,Ypsilon,white,2007
WH139DJ,Jeep,Wrangler,black,2008
WH152EM,Mini,Paceman,grey,2009
WH165FP,Subaru,XV,silver,2010
WH178GT,Mitsubishi,Outlander,green,2011
WH191HW,Tesla,Model X,yellow,2012
WI204IZ,Fiat,Punto,orange,2013
WI217JC,Volkswagen,Golf,brown,2014
WI230KF,Toyota,Yaris,beige,2015
WI243LI,Ford,Focus,purple,2016
WI256ML,Renault,Clio,red,2017
WI269NO,Peugeot,208,blue,2018
WI282OS,Opel,Corsa,white,2019
WI295PV,BMW,Serie 1,black,2020
WI308RY,Mercedes,Classe A,grey,2021
WI321SB,Audi,A1,silver,2022
WI334TE,Honda,Civic,green,2023
WI347UH,Hyundai,i10,yellow,2024
WI360VK,Kia,Picanto,orange,2005
WI373WN,Nissan,Micra,brown,2006
WI386XR,Seat,Ibiza,beige,2007
WI399YU,Skoda,Fabia,purple,2008
WI412ZX,Volvo,V40,red,2009
WI425AA,Mazda,2,blue,2010
WI438BD,Suzuki,Swift,white,2011
WI451CG,Citroen,C3,black,2012
WI464DJ,Dacia,Sandero,grey,2013
WI477EM,Alfa Romeo,Giulietta,silver,2014
WI490FP,Lancia,Ypsilon,green,2015
WI503GT,Jeep,Renegade,yellow,2016
WI516HW,Mini,Cooper,orange,2017
WI529IZ,Subaru,Impreza,brown,2018
WJ542JC,Mitsubishi,Colt,beige,2019
WJ555KF,Tesla,Model 3,purple,2020
WJ568LI,Fiat,500,red,2021
WJ581ML,Volkswagen,Polo,blue,2022
WJ594NO,Toyota,Corolla,white,2023
WJ607OS,Ford,Fiesta,black,2024
WJ620PV,Renault,Megane,grey,2005
WJ633RY,Peugeot,308,silver,2006
WJ646SB,Opel,Astra,green,2007
WJ659TE,BMW,Serie 3,yellow,2008
WJ672UH,Mercedes,Classe B,orange,2009
WJ685VK,Audi,A3,brown,2010
WJ698WN,Honda,Jazz,beige,2011
WJ711XR,Hyundai,i20,purple,2012
WJ724YU,Kia,Stonic,red,2013
WJ737ZX,Nissan,Juke,blue,2014
WJ750AA,Seat,Arona,white,2015
WJ763BD,Skoda,Scala,black,2016
WJ776CG,Volvo,XC40,grey,2017
WJ789DJ,Mazda,3,silver,2018
WJ802EM,Suzuki,Vitara,green,2019
WJ815FP,Citroen,C4,yellow,2020
WJ828GT,Dacia,Duster,orange,2021
WJ841HW,Alfa Romeo,Giulia,brown,2022
WJ854IZ,Lancia,Ypsilon,beige,2023
WJ867JC,Jeep,Compass,purple,2024
WK880KF,Mini,Countryman,red,2005
WK893LI,Subaru,Forester,blue,2006
WK906ML,Mitsubishi,ASX,white,2007
WK919NO,Tesla,Model Y,black,2008
WK932OS,Fiat,Panda,grey,2009
WK945PV,Volkswagen,Passat,silver,2010
WK958RY,Toyota,Auris,green,2011
WK971SB,Ford,Kuga,yellow,2012
WK984TE,Renault,Captur,orange,2013
WK997UH,Peugeot,2008,brown,2014
WK110VK,Opel,Mokka,beige,2015
WK123WN,BMW,Serie 5,purple,2016
WK136XR,Mercedes,Classe C,red,2017
WK149YU,Audi,A4,blue,2018
WK162ZX,Honda,HR-V,white,2019
WK175AA,Hyundai,i30,black,2020
WK188BD,Kia,Ceed,grey,2021
WK201CG,Nissan,Qashqai,silver,2022
WK214DJ,Seat,Leon,green,2023
WK227EM,Skoda,Octavia,yellow,2024
WK240FP,Volvo,V60,orange,2005
WK253GT,Mazda,CX-3,brown,2006
WK266HW,Suzuki,Ignis,beige,2007
WK279IZ,Citroen,C5 Aircross,purple,2008
WK292JC,Dacia,Logan,red,2009
WK305KF,Alfa Romeo,Stelvio,blue,2010
WL318LI,Lancia,Ypsilon,white,2011
WL331ML,Jeep,Cherokee,black,2012
WL344NO,Mini,Clubman,grey,2013
WL357OS,Subaru,Outback,silver,2014
WL370PV,Mitsubishi,Eclipse Cross,green,2015
WL383RY,Tesla,Model S,yellow,2016
WL396SB,Fiat,Tipo,orange,2017
WL409TE,Volkswagen,Tiguan,brown,2018
WL422UH,Toyota,RAV4,beige,2019
WL435VK,Ford,Puma,purple,2020
WL448WN,Renault,Kadjar,red,2021
WL461XR,Peugeot,3008,blue,2022
WL474YU,Opel,Crossland,white,2023
WL487ZX,BMW,X1,black,2024
WL500AA,Mercedes,GLA,grey,2005
WL513BD,Audi,Q3,silver,2006
WL526CG,Honda,CR-V,green,2007
WL539DJ,Hyundai,Tucson,yellow,2008
WL552EM,Kia,Sportage,orange,2009
WL565FP,Nissan,Leaf,brown,2010
WL578GT,Seat,Ateca,beige,2011
WL591HW,Skoda,Karoq,purple,2012
WL604IZ,Volvo,XC60,red,2013
WL617JC,Mazda,CX-5,blue,2014
WL630KF,Suzuki,Baleno,white,2015
WL643LI,Citroen,Berlingo,black,2016
WM656ML,Dacia,Spring,grey,2017
WM669NO,Alfa Romeo,Tonale,silver,2018
WM682OS,Lancia,Ypsilon,green,2019
WM695PV,Jeep,Wrangler,yellow,2020
